company_number,company_name,dissolved,company_type,sector,region,incorporation_month,incorporation_year,n_officers_total,n_officers_active,n_filings_total,n_filings_year1,has_charges,has_been_liquidated,lifespan_days
07223662,ALAN BAKER & CO INTERIOR DESIGN LIMITED,0,ltd,Retail,South East,4,2010,3,3,32,2,False,False,5831
07275066,PREMIER TOOLING DESIGN LIMITED,0,ltd,Manufacturing,North West,6,2010,3,3,48,1,False,False,5777
07356959,HOOT MEDIA LIMITED,0,ltd,Info & Comms,South West,8,2010,4,1,44,3,False,False,5698
07339208,30.06 STUDIOS LTD,0,ltd,Info & Comms,North East,8,2010,4,1,38,1,False,False,5714
07393187,BLUEPOINT MARINE SERVICES LIMITED,0,ltd,Manufacturing,North West,9,2010,2,2,41,1,False,False,5662
07381401,SHEDS CENTRE WALES LIMITED,0,ltd,Retail,Wales,9,2010,2,1,39,2,False,False,5672
07256434,APPLEHILL PROPERTIES LTD,0,ltd,Admin & Support,East of England,5,2010,8,3,67,4,False,False,5797
07245663,ABSOLUTE SKINCARE LIMITED,0,ltd,Other Services,East of England,5,2010,2,1,46,3,False,False,5809
07131446,EQUALS CONNECT LIMITED,0,ltd,Finance,London,1,2010,11,3,90,3,False,False,5915
07350036,CARLTON & ASSOCIATES LIMITED,0,ltd,Professional Services,South East,8,2010,2,2,30,1,False,False,5705
07126390,M K BUILDING SERVICES (BARTON) LIMITED,0,ltd,Construction,Yorkshire,1,2010,3,1,41,1,False,False,5920
07118853,CRUNDELL & CO ACCOUNTANCY LTD,0,ltd,Professional Services,Wales,1,2010,2,2,48,2,False,False,5928
07344417,DENUNZIO ASSOCIATES LTD,0,ltd,Admin & Support,London,8,2010,2,1,48,10,False,False,5711
07417462,STC4C LIMITED,0,ltd,Retail,East of England,10,2010,2,2,36,3,False,False,5637
07199115,ULTIMATE PROPERTY SOLUTIONS LIMITED,0,ltd,Construction,South West,3,2010,2,1,38,1,False,False,5853
07352789,NEWSMAKER PR AND VIDEO PRODUCTION LTD,0,ltd,Professional Services,North East,8,2010,1,1,30,1,False,False,5700
07276223,BONTHE CONSULTANCY LIMITED,0,ltd,Professional Services,South East,6,2010,2,1,34,3,False,False,5777
07235170,CLP GROUP LIMITED,0,ltd,Professional Services,South West,4,2010,10,4,70,6,False,False,5819
