company_number,company_name,company_status,company_type,date_of_creation,date_of_cessation,sic_codes,postcode,has_charges,has_been_liquidated,n_officers_total,n_officers_active,n_filings_total,n_filings_year1
07223662,ALAN BAKER & CO INTERIOR DESIGN LIMITED,active,ltd,2010-04-14,,"['47510', '47599']",GU27 1HN,False,False,3,3,32,2
07275066,PREMIER TOOLING DESIGN LIMITED,active,ltd,2010-06-07,,['32990'],M41 8PS,False,False,3,3,48,1
07356959,HOOT MEDIA LIMITED,active,ltd,2010-08-25,,['62090'],TQ2 7DU,False,False,4,1,44,3
07339208,30.06 STUDIOS LTD,active,ltd,2010-08-09,,['62012'],SR3 1LW,False,False,4,1,38,1
07393187,BLUEPOINT MARINE SERVICES LIMITED,active,ltd,2010-09-30,,['33150'],L3 4EE,False,False,2,2,41,1
07381401,SHEDS CENTRE WALES LIMITED,active,ltd,2010-09-20,,['47789'],CF31 1BE,False,False,2,1,39,2
07256434,APPLEHILL PROPERTIES LTD,active,ltd,2010-05-18,,['82990'],SG8 5HL,False,False,8,3,67,4
07245663,ABSOLUTE SKINCARE LIMITED,active,ltd,2010-05-06,,['96090'],SG1 3WB,False,False,2,1,46,3
07131446,EQUALS CONNECT LIMITED,active,ltd,2010-01-20,,['64999'],EC4V 3BJ,False,False,11,3,90,3
07350036,CARLTON & ASSOCIATES LIMITED,active,ltd,2010-08-18,,['70229'],TN33 0RZ,False,False,2,2,30,1
07126390,M K BUILDING SERVICES (BARTON) LIMITED,active,ltd,2010-01-15,,['43390'],DN18 5DW,False,False,3,1,41,1
SC378517,RURALDIMENSIONS LTD,active,ltd,2010-05-13,,['82990'],FK17 8BN,False,False,2,1,37,1
07118853,CRUNDELL & CO ACCOUNTANCY LTD,active,ltd,2010-01-07,,"['69201', '69202', '69203']",SY3 5PH,False,False,2,2,48,2
07344417,DENUNZIO ASSOCIATES LTD,active,ltd,2010-08-12,,['82990'],WC2B 5AH,False,False,2,1,48,10
07417462,STC4C LIMITED,active,ltd,2010-10-25,,['45320'],PE30 1HJ,False,False,2,2,36,3
07199115,ULTIMATE PROPERTY SOLUTIONS LIMITED,active,ltd,2010-03-23,,['43390'],BS32 4DG,False,False,2,1,38,1
07352789,NEWSMAKER PR AND VIDEO PRODUCTION LTD,active,ltd,2010-08-23,,['74909'],NE23 3FZ,False,False,1,1,30,1
07276223,BONTHE CONSULTANCY LIMITED,active,ltd,2010-06-07,,['74909'],HA9 7JP,False,False,2,1,34,3
07235170,CLP GROUP LIMITED,active,ltd,2010-04-26,,['69102'],BS1 6DZ,False,False,10,4,70,6
07257552,93 BELGRAVE ROAD FREEHOLD LIMITED,active,ltd,2010-05-18,,['98000'],SW1V 2NE,False,False,8,3,47,8
07467658,DCC PROJECTS LTD,active,ltd,2010-12-13,,['62020'],KT12 2BW,False,False,1,1,34,1
07238632,J & M TRIVEDI LTD,active,ltd,2010-04-29,,['86220'],SY3 8DD,False,False,2,2,37,3
07301894,ADZUNA LIMITED,active,ltd,2010-07-01,,['63120'],SW6 4NZ,False,False,6,5,143,0
07262084,FIRCROFT ASSOCIATES LTD,active,ltd,2010-05-21,,"['69201', '69202', '70229']",AL3 4PQ,False,False,4,2,53,3
07179216,WATCHWORD MEDIA LTD,active,ltd,2010-03-05,,['59113'],NR11 7AZ,False,False,4,3,41,6
07259122,LOUANNA HOLDINGS LIMITED,active,ltd,2010-05-19,,['64209'],CT10 2EY,False,False,2,2,37,1
07439068,RUNFLAT LIMITED,active,ltd,2010-11-15,,['99999'],B64 5QY,False,False,7,3,41,1
07250733,IKAM PROPERTY LIMITED,active,ltd,2010-05-12,,['68320'],SL1 1UA,False,False,2,2,46,1
07474285,NADOMINI HOLDING LIMITED,active,ltd,2010-12-20,,['99000'],DN6 8DA,False,False,1,1,37,1
07452794,REALTY ACCESS TITLE LIMITED,active,ltd,2010-11-26,,['74990'],GU15 3YX,False,False,11,4,51,5
07384882,FERN-LEA GLAZING LTD,active,ltd,2010-09-22,,['43342'],HX1 3SG,False,False,1,1,31,2
07273583,INSPIRE PARTNERSHIP HOLDINGS LIMITED,active,ltd,2010-06-04,,['82990'],SE1 2AQ,False,False,11,4,62,7
SC378200,ROTARY GUIDANCE SOLUTION LIMITED,active,ltd,2010-05-07,,['82990'],DD10 0EF,False,False,2,2,38,1
07238485,SEAN HANNA SUTTON LIMITED,active,ltd,2010-04-29,,['96020'],KT4 8HT,False,False,3,2,40,7
07472881,JANE HARFLEET LIMITED,active,ltd,2010-12-17,,['56290'],SW18 1PE,False,False,1,1,33,1
07319630,STUNNING HANDRAILS LTD,active,ltd,2010-07-20,,['25110'],KT16 8LF,False,False,3,2,41,5
07246984,INTERNATIONAL ACADEMY FOR ADVANCED RESEARCH AND STUDIES LTD,active,ltd,2010-05-07,,"['85422', '85600']",NW1 1DE,False,False,1,1,44,1
07283194,ANGLIAN FARMING LTD,active,ltd,2010-06-14,,['01460'],IP25 6HY,False,False,5,2,53,2
07186110,AIM VENTURES LTD,active,ltd,2010-03-11,,"['62020', '96090']",HA5 3EF,False,False,2,2,42,1
07270233,ALDRIDGE & SONS ROOFING LTD,active,ltd,2010-06-01,,['43910'],TW16 7JZ,False,False,2,2,38,1
07405636,APEM (UK) LTD,active,ltd,2010-10-13,,['56210'],CR0 2TL,False,False,1,1,44,2
07261502,DM PHARMA LIMITED,active,ltd,2010-05-21,,['86210'],LE11 2EH,False,False,3,3,46,1
07403512,CHESTNUT CLINIC LTD,active,ltd,2010-10-11,,['82990'],SL2 4HX,False,False,4,2,45,1
07357397,PREMIER PIE COMPANY LIMITED,active,ltd,2010-08-25,,['10710'],LS26 8JD,False,False,2,2,30,1
07416785,TREDEGAR HEALTHCARE LIMITED,active,ltd,2010-10-22,,['74990'],PO7 7AN,False,False,2,2,36,1
07342579,EVS ASSOCIATES LTD,active,ltd,2010-08-11,,['70229'],TW7 7AA,False,False,1,1,49,1
07204847,LE PAGE ARCHITECTS LIMITED,active,ltd,2010-03-26,,['71129'],PL15 7ED,False,False,3,2,63,8
07282098,JEXCOM LIMITED,active,ltd,2010-06-11,,['96090'],HA5 4HS,False,False,2,1,35,4
07395085,SISONKE LIMITED,active,ltd,2010-10-04,,['78300'],LE5 4WF,False,False,3,1,42,1
07357188,J BARTON SOLUTIONS LTD,active,ltd,2010-08-25,,['62090'],WD17 1HP,False,False,1,1,40,5
07436502,POT BLACK 147 LIMITED,active,ltd,2010-11-11,,['93290'],NR32 2PY,False,False,2,1,56,2
07334383,DOVESTREET.CO.UK LIMITED,active,ltd,2010-08-03,,['68209'],IP6 0AJ,False,False,3,2,39,3
SC385620,SSETIC LIMITED,active,ltd,2010-09-21,,"['47250', '74909']",KY11 9PF,False,False,2,2,33,2
07242184,SPRING RETAIL MARKETING LIMITED,active,ltd,2010-05-04,,"['70229', '82990']",GU1 1ER,False,False,3,3,46,5
07423466,KALAKUTA SUNRISE LIMITED,active,ltd,2010-10-29,,['59200'],NW8 0DL,False,False,4,3,43,4
07178123,HARMONISED DESIGNS LIMITED,active,ltd,2010-03-04,,['74100'],YO23 1NU,False,False,1,1,32,1
07213126,Z&A FINANCE LIMITED,active,ltd,2010-04-06,,['69201'],LU4 8SW,False,False,1,1,34,1
07163415,SHIV CAPITAL REAL ESTATE LIMITED,active,ltd,2010-02-19,,['68100'],SW7 5QF,False,False,1,1,43,1
07177906,REPUTABLE RESOURCES LIMITED,active,ltd,2010-03-04,,['82990'],HA3 8DP,False,False,1,1,46,1
07118904,CAVENDISH HEALTH PROVIDER LTD,active,ltd,2010-01-07,,['86210'],DE23 8RJ,False,False,6,2,45,4
07235690,RJS SUPERBIKES LIMITED,active,ltd,2010-04-27,,['45400'],LE9 7QE,False,False,1,1,46,1
07398897,BARNABY'S DAY NURSERY LIMITED,active,ltd,2010-10-06,,"['85100', '88910']",HD9 7HA,False,False,1,1,33,2
07240772,YARL HYDRACENTRE LIMITED,active,ltd,2010-04-30,,['33190'],LA14 4RF,False,False,4,3,42,2
07405435,FAIRWYNS COURT (SUTTON) MANAGEMENT COMPANY LTD,active,ltd,2010-10-13,,['98000'],KT18 5QG,False,False,11,1,59,2
07304887,BUCKINGHAM GARDEN CENTRE LTD.,active,ltd,2010-07-05,,['47760'],MK18 4AE,False,False,3,3,33,1
07443374,THE ACTIVE BODY STUDIO LTD,active,ltd,2010-11-18,,['93130'],TN11 9HB,False,False,3,1,42,2
