company_number,company_status
07223662,active
07275066,active
07356959,active
07339208,active
07393187,active
07381401,active
07256434,active
07245663,active
07131446,active
07350036,active
07126390,active
SC378517,active
07118853,active
07344417,active
07417462,active
07199115,active
07352789,active
07276223,active
07235170,active
07257552,active
07467658,active
07238632,active
07301894,active
07262084,active
07179216,active
07259122,active
07439068,active
07250733,active
07474285,active
07452794,active
07384882,active
07273583,active
SC378200,active
07238485,active
07472881,active
07319630,active
07246984,active
07283194,active
07186110,active
07270233,active
07405636,active
07261502,active
07403512,active
07357397,active
07416785,active
07342579,active
07204847,active
07282098,active
07395085,active
07357188,active
07436502,active
07334383,active
SC385620,active
07242184,active
07423466,active
07178123,active
07213126,active
07163415,active
07177906,active
07118904,active
07235690,active
07398897,active
07240772,active
07405435,active
07304887,active
07443374,active
07246348,active
07395668,active
07366486,active
07223109,active
07128962,active
07231931,active
07133469,active
07231214,active
07232701,active
07231814,active
07229532,active
07229595,active
07227993,active
07228993,active
07453866,active
07134623,active
07256544,active
07136562,active
07257317,active
07352322,active
07405953,active
07410741,active
07262634,active
07254692,active
07279378,active
07285506,active
07273072,active
07201534,active
07160239,active
07170818,active
07292598,active
07171911,active
07402861,active
07397636,active
SC390717,active
07231595,active
07229681,active
07310546,active
07394376,active
07240450,active
07241692,active
07446120,active
07256979,active
07418296,active
07209629,active
07125916,active
07241954,active
07336653,active
07401782,active
07228357,active
07120335,active
07226957,active
07219776,active
07233994,active
07248149,active
SC372352,active
07252176,active
07245019,active
07291926,active
07298533,active
07245647,active
SC384219,active
07449408,active
07249322,active
07448486,active
07254823,active
07302517,active
07246157,active
07250140,active
07212681,active
07254717,active
07247921,active
07232382,active
07181630,active
07221916,active
07235724,active
07244558,active
07246850,active
07205097,active
07345087,active
SC386288,active
07403165,active
07428337,active
07407310,active
07370319,active
07343064,active
07254715,active
07226562,active
07227170,active
07133629,active
07476916,active
07254205,active
07251316,active
SC383057,active
07348485,active
07119394,active
07249747,active
07149870,active
07152511,active
07346690,active
07259800,active
07138634,active
07246983,active
07140261,active
07315694,active
07252872,active
SC388189,active
SC384296,active
NI603275,active
NI602650,active
07121808,active
07290412,active
07243897,active
07253096,active
07223500,active
07202061,active
07392049,active
07370298,active
SC372922,active
07157900,active
07390897,active
07441404,active
07333088,active
07155571,active
07384620,active
07250252,active
SC377894,active
07212054,active
07190451,active
SC382460,active
07211709,active
07248501,active
07199908,active
07308962,active
OC352865,active
OC360306,active
OC353564,active
OC351649,active
OC354289,active
OC357628,active
OC356799,active
OC354626,active
OC352060,active
OC358770,active
OC358458,active
OC359262,active
OC359270,active
OC352378,active
OC358832,active
OC360125,active
OC359631,active
OC355794,active
OC353157,active
OC353162,active
OC359992,active
OC351642,active
OC352004,active
OC359257,active
OC360087,active
OC353860,active
OC355817,active
OC351770,active
OC360153,active
OC352713,active
OC353709,active
OC352718,active
OC354821,active
OC353789,active
OC353339,active
OC358007,active
OC352078,active
OC354112,active
OC353895,active
OC352662,active
OC352102,active
OC352307,active
OC353358,active
OC353060,active
OC351443,active
OC353320,active
OC353804,active
OC352595,active
OC353302,active
OC359107,active
OC351727,active
OC359698,active
OC353368,active
OC352415,active
OC359968,active
OC354682,active
OC360158,active
OC357110,active
OC353122,active
SO302645,active
OC351982,active
OC360290,active
OC358938,active
OC354222,active
OC353166,active
OC355019,active
OC352623,active
OC359167,active
OC352962,active
OC354236,active
OC355296,active
OC353912,active
OC353820,active
OC351562,active
OC358602,active
OC354048,active
OC353298,active
OC360254,active
OC353459,active
OC359366,active
OC355727,active
OC352712,active
OC352404,active
OC360111,active
OC352491,active
OC352869,active
OC353275,active
OC352983,active
OC353127,active
OC351318,active
OC353076,active
OC351226,active
OC352783,active
OC352230,active
OC352699,active
OC352776,active
OC351692,active
OC352135,active
OC352588,active
OC353713,active
OC351641,active
OC354252,active
OC353489,active
OC352243,active
OC352137,active
OC358135,active
OC353669,active
OC353450,active
OC352618,active
SO302689,active
OC352284,active
OC351393,active
OC352056,active
OC352721,active
OC356299,active
OC352169,active
OC353744,active
SO302714,active
OC352882,active
OC353144,active
NC000638,active
OC351527,active
OC360224,active
OC360337,active
OC351718,active
OC355111,active
OC356194,active
OC359207,active
OC355650,active
OC359395,active
SO302710,active
OC355856,active
SO302747,active
OC351292,active
OC351306,active
OC351308,active
OC355479,active
OC355360,active
OC353366,active
OC353164,active
OC358008,active
OC352016,active
OC352376,active
OC360068,active
OC355196,active
OC358445,active
OC360373,active
OC353411,active
OC353216,active
OC358724,active
OC357825,active
OC354270,active
OC352093,active
OC355080,active
OC355470,active
OC356393,active
OC359886,active
OC360081,active
OC358471,active
OC355580,active
OC354140,active
OC359198,active
OC352538,active
OC354519,active
OC351405,active
OC353067,active
OC357772,active
SO302994,active
OC357128,active
OC354377,active
OC358947,active
OC354792,active
OC357180,active
OC355280,active
OC352379,active
OC354830,active
OC357325,active
OC354822,active
OC352369,active
OC354678,active
OC353209,active
OC356480,active
OC356044,active
OC353081,active
OC354096,active
OC353169,active
OC360515,active
OC352853,active
OC360198,active
OC351357,active
OC357069,active
OC353776,active
OC354604,active
OC355787,active
OC360402,active
OC360527,active
OC358066,active
OC354946,active
OC354487,active
OC356289,active
07374698,dissolved
07375902,dissolved
07373913,dissolved
07373947,dissolved
07374837,dissolved
07376179,dissolved
07375805,dissolved
07376589,dissolved
07376656,dissolved
07374671,dissolved
07373322,dissolved
07374394,dissolved
07374278,dissolved
07374039,dissolved
07376207,dissolved
07374751,dissolved
07375690,dissolved
07376497,dissolved
07374723,dissolved
07376021,dissolved
07373402,dissolved
07373467,dissolved
07373560,dissolved
07375265,dissolved
07375309,dissolved
07374447,dissolved
07374000,dissolved
07374033,dissolved
07376231,dissolved
