company_number,name,nationality,sic_codes,nationality_normalized,nationality_clean,sic_code,sic_2,industry
16378959,"CAMPBELL, Iain Stewart",Australian,"['63110', '72190']",australian,australian,63110,63,Information & Communication
16378959,"CLARK, Peter John, Dr",British,"['63110', '72190']",british,british,63110,63,Information & Communication
16378959,"SNODGRASS, Helen",British,"['63110', '72190']",british,british,63110,63,Information & Communication
16378959,"SNODGRASS, Patrick Nigel",British,"['63110', '72190']",british,british,63110,63,Information & Communication
16378959,"WATTS, Harry David",British,"['63110', '72190']",british,british,63110,63,Information & Communication
16289745,"SQUIBB, Sarah",British,"['01430', '01629']",british,british,01430,01,Agriculture & Mining
14216216,"FAYED, Camilla Karina",British,['01500'],british,british,01500,01,Agriculture & Mining
FC009863,"HERZOG VON OLDENBURG, Friedrick August Wilhelm Christian Ernest",German,,german,german,,,Other
FC009863,"HERZOG VON OLDENBURG, Peter Friedrick August Max",German,,german,german,,,Other
07410439,"MIDDLETON, Laura",British,['93290'],british,british,93290,93,Other
07410439,"MIDDLETON, Robert William",British,['93290'],british,british,93290,93,Other
01926828,"ALLEN, Nick Graham",British,['82990'],british,british,82990,82,Other
01926828,"CALDWELL, Kenneth Mathieson",British,['82990'],british,british,82990,82,Other
01926828,"INAMDAR, Amar",British,['82990'],british,british,82990,82,Other
01926828,"JAY, François",French,['82990'],french,french,82990,82,Other
01926828,"MARKS, Julian David",British,['82990'],british,british,82990,82,Other
01926828,"MILLER SMITH, Caroline Maisie",British,['82990'],british,british,82990,82,Other
01926828,"NGIGE, Jane",Kenyan,['82990'],kenyan,kenyan,82990,82,Other
01926828,"ONYANGO, Anna Olivia Akinyi",Kenyan,['82990'],kenyan,kenyan,82990,82,Other
01926828,"PICKARD, Keith William",British,['82990'],british,british,82990,82,Other
01926828,"UNWIN, Vicky",British,['82990'],british,british,82990,82,Other
01926828,"BATCHELAR, Judith Margaret",British,['82990'],british,british,82990,82,Other
01926828,"BATTERS, Minette",British,['82990'],british,british,82990,82,Other
01926828,"BONDE NIELSEN, Jan",Danish,['82990'],danish,danish,82990,82,Other
01926828,"BOODLE, Camilla Jane",British,['82990'],british,british,82990,82,Other
01926828,"BOUGHTON, Henry George",British,['82990'],british,british,82990,82,Other
01926828,"BOWDEN, Mark Rainer",British,['82990'],british,british,82990,82,Other
01926828,"BRERETON, Colin Ian",British,['82990'],british,british,82990,82,Other
01926828,"BROWN, Serena Marie",British,['82990'],british,british,82990,82,Other
01926828,"BROWNING, Robert John",British,['82990'],british,british,82990,82,Other
01926828,"CAINE, Michael, Sir",British,['82990'],british,british,82990,82,Other
01926828,"CHAMBERLAIN, Denis John",British,['82990'],british,british,82990,82,Other
01926828,"CHIRWA, Ephraim Wadonda, Professor",Malawian,['82990'],malawian,malawian,82990,82,Other
01926828,"CLAY, Edward John, Dr",British,['82990'],british,british,82990,82,Other
01926828,"COLLINSON, Michael Porter, Doctor",British,['82990'],british,british,82990,82,Other
09359340,"COLLISON, Daniel David Standish",British,['99999'],british,british,99999,99,Other
09359340,"PICKARD, Keith William",British,['99999'],british,british,99999,99,Other
09359340,"ALLEN, Nicholas Graham",British,['99999'],british,british,99999,99,Other
09359340,"BRERETON, Colin",British,['99999'],british,british,99999,99,Other
09359340,"CLAYTON, Jenny Natasha",British,['99999'],british,british,99999,99,Other
09359340,"HARRIS, Nigel Richard",British,['99999'],british,british,99999,99,Other
09359340,"MACDONALD, Richard Auld",British,['99999'],british,british,99999,99,Other
09359340,"MOUNARD, Nicolas Jean Louis",French,['99999'],french,french,99999,99,Other
09359340,"SAXTON, Mike Paul",British,['99999'],british,british,99999,99,Other
09359340,"SHAW, John",British,['99999'],british,british,99999,99,Other
07401279,"COLLISON, Daniel David Standish",British,['99999'],british,british,99999,99,Other
