company_number,n_filings_total,n_filings_year1
07223662,32,2
07275066,48,1
07356959,44,3
07339208,38,1
07393187,41,1
07381401,39,2
07256434,67,4
07245663,46,3
07131446,90,3
07350036,30,1
07126390,41,1
SC378517,37,1
07118853,48,2
07344417,48,10
07417462,36,3
07199115,38,1
07352789,30,1
07276223,34,3
07235170,70,6
07257552,47,8
07467658,34,1
07238632,37,3
07301894,143,0
07262084,53,3
07179216,41,6
07259122,37,1
07439068,41,1
07250733,46,1
07474285,37,1
07452794,51,5
07384882,31,2
07273583,62,7
SC378200,38,1
07238485,40,7
07472881,33,1
07319630,41,5
07246984,44,1
07283194,53,2
07186110,42,1
07270233,38,1
07405636,44,2
07261502,46,1
07403512,45,1
07357397,30,1
07416785,36,1
07342579,49,1
07204847,63,8
07282098,35,4
07395085,42,1
07357188,40,5
07436502,56,2
07334383,39,3
SC385620,33,2
07242184,46,5
07423466,43,4
07178123,32,1
07213126,34,1
07163415,43,1
07177906,46,1
07118904,45,4
07235690,46,1
07398897,33,2
07240772,42,2
07405435,59,2
07304887,33,1
07443374,42,2
07246348,45,5
07395668,62,8
07366486,46,4
07223109,49,1
07128962,41,1
07231931,37,2
07133469,34,1
07231214,32,1
07232701,84,1
07231814,34,1
07229532,47,2
07229595,33,2
07227993,36,2
07228993,43,2
07453866,59,10
07134623,43,5
07256544,33,3
07136562,31,2
07257317,33,1
07352322,34,1
07405953,64,1
07410741,53,1
07262634,40,1
07254692,39,2
07279378,48,6
07285506,47,6
07273072,41,6
07201534,47,1
07160239,46,1
07170818,34,1
07292598,64,2
07171911,28,1
07402861,56,1
07397636,40,2
SC390717,34,1
07231595,55,11
07229681,34,5
07310546,55,3
07394376,46,2
07240450,31,1
07241692,51,2
07446120,44,1
07256979,35,1
07418296,43,1
07209629,37,1
07125916,37,2
07241954,40,1
07336653,40,3
07401782,34,1
07228357,40,2
07120335,45,3
07226957,76,2
07219776,36,1
07233994,38,1
07248149,43,1
SC372352,62,7
07252176,54,10
07245019,89,7
07291926,41,4
07298533,69,5
07245647,31,1
SC384219,33,3
07449408,39,1
07249322,37,1
07448486,53,2
07254823,95,7
07302517,39,2
07246157,38,4
07250140,43,2
07212681,33,3
07254717,34,1
07247921,43,2
07232382,45,2
07181630,44,1
07221916,37,3
07235724,33,1
07244558,55,1
07246850,36,1
07205097,48,1
07345087,35,4
SC386288,44,1
07403165,43,4
07428337,36,4
07407310,113,0
07370319,35,1
07343064,44,3
07254715,42,5
07226562,43,3
07227170,46,3
07133629,61,4
07476916,38,2
07254205,40,2
07251316,35,1
SC383057,30,1
07348485,38,1
07119394,46,2
07249747,32,2
07149870,36,2
07152511,38,1
07346690,54,8
07259800,40,1
07138634,32,1
07246983,31,1
07140261,60,5
07315694,37,1
07252872,37,1
SC388189,40,6
SC384296,41,9
NI603275,44,1
NI602650,41,1
07121808,141,0
07290412,43,1
07243897,41,4
07253096,35,1
07223500,35,1
07202061,43,1
07392049,37,1
07370298,49,1
SC372922,53,8
07157900,39,1
07390897,34,1
07441404,41,2
07333088,49,1
07155571,54,1
07384620,66,3
07250252,39,2
SC377894,38,1
07212054,53,1
07190451,44,2
SC382460,39,6
07211709,35,1
07248501,37,3
07199908,60,10
07308962,45,1
OC352865,181,0
OC360306,51,1
OC353564,190,0
OC351649,44,4
OC354289,62,3
OC357628,91,10
OC356799,42,1
OC354626,32,1
OC352060,45,2
OC358770,40,5
OC358458,54,9
OC359262,49,2
OC359270,74,6
OC352378,44,6
OC358832,38,4
OC360125,91,4
OC359631,38,2
OC355794,75,14
OC353157,37,2
OC353162,45,2
OC359992,37,1
OC351642,46,7
OC352004,52,3
OC359257,34,3
OC360087,62,1
OC353860,99,2
OC355817,74,16
OC351770,41,2
OC360153,44,2
OC352713,1062,0
OC353709,38,1
OC352718,45,1
OC354821,46,3
OC353789,89,3
OC353339,37,2
OC358007,41,1
OC352078,67,1
OC354112,140,0
OC353895,49,2
OC352662,52,2
OC352102,36,2
OC352307,66,2
OC353358,35,2
OC353060,37,1
OC351443,64,3
OC353320,32,1
OC353804,46,1
OC352595,56,6
OC353302,34,1
OC359107,52,4
OC351727,45,4
OC359698,32,1
OC353368,63,8
OC352415,64,13
OC359968,40,1
OC354682,65,3
OC360158,56,4
OC357110,62,2
OC353122,43,3
SO302645,72,4
OC351982,57,4
OC360290,45,2
OC358938,36,1
OC354222,48,2
OC353166,43,3
OC355019,46,6
OC352623,60,1
OC359167,67,10
OC352962,58,1
OC354236,43,1
OC355296,37,1
OC353912,46,2
OC353820,57,5
OC351562,40,1
OC358602,47,1
OC354048,48,7
OC353298,46,2
OC360254,51,1
OC353459,67,4
OC359366,41,3
OC355727,65,1
OC352712,55,7
OC352404,85,6
OC360111,48,8
OC352491,53,3
OC352869,49,1
OC353275,45,1
OC352983,54,3
OC353127,40,1
OC351318,43,8
OC353076,39,3
OC351226,48,1
OC352783,45,2
OC352230,35,3
OC352699,57,2
OC352776,51,2
OC351692,41,1
OC352135,63,5
OC352588,40,1
OC353713,38,1
OC351641,41,3
OC354252,49,2
OC353489,38,1
OC352243,46,2
OC352137,52,4
OC358135,45,3
OC353669,62,4
OC353450,70,1
OC352618,53,7
SO302689,39,2
OC352284,59,1
OC351393,42,2
OC352056,42,7
OC352721,41,2
OC356299,44,6
OC352169,42,4
OC353744,48,3
SO302714,45,7
OC352882,83,7
OC353144,43,2
NC000638,39,1
OC351527,64,8
OC360224,148,0
OC360337,629,0
OC351718,52,7
OC355111,42,1
OC356194,69,5
OC359207,36,4
OC355650,54,8
OC359395,46,6
SO302710,40,2
OC355856,60,6
SO302747,41,1
OC351292,52,1
OC351306,53,1
OC351308,54,1
OC355479,50,1
OC355360,47,3
OC353366,77,3
OC353164,52,3
OC358008,59,18
OC352016,36,3
OC352376,36,1
OC360068,66,6
OC355196,70,9
OC358445,51,1
