company_number,n_officers_total,n_officers_active
07223662,3,3
07275066,3,3
07356959,4,1
07339208,4,1
07393187,2,2
07381401,2,1
07256434,8,3
07245663,2,1
07131446,11,3
07350036,2,2
07126390,3,1
SC378517,2,1
07118853,2,2
07344417,2,1
07417462,2,2
07199115,2,1
07352789,1,1
07276223,2,1
07235170,10,4
07257552,8,3
07467658,1,1
07238632,2,2
07301894,6,5
07262084,4,2
07179216,4,3
07259122,2,2
07439068,7,3
07250733,2,2
07474285,1,1
07452794,11,4
07384882,1,1
07273583,11,4
SC378200,2,2
07238485,3,2
07472881,1,1
07319630,3,2
07246984,1,1
07283194,5,2
07186110,2,2
07270233,2,2
07405636,1,1
07261502,3,3
07403512,4,2
07357397,2,2
07416785,2,2
07342579,1,1
07204847,3,2
07282098,2,1
07395085,3,1
07357188,1,1
07436502,2,1
07334383,3,2
SC385620,2,2
07242184,3,3
07423466,4,3
07178123,1,1
07213126,1,1
07163415,1,1
07177906,1,1
07118904,6,2
07235690,1,1
07398897,1,1
07240772,4,3
07405435,11,1
07304887,3,3
07443374,3,1
07246348,3,2
07395668,6,1
07366486,2,1
07223109,4,2
07128962,3,1
07231931,2,2
07133469,1,1
07231214,1,1
07232701,22,7
07231814,1,1
07229532,4,4
07229595,1,1
07227993,1,1
07228993,2,1
07453866,6,1
07134623,3,1
07256544,3,3
07136562,1,1
07257317,1,1
07352322,1,1
07405953,6,2
07410741,4,1
07262634,3,3
07254692,2,1
07279378,4,1
07285506,2,2
07273072,3,2
07201534,1,1
07160239,2,2
07170818,2,2
07292598,4,1
07171911,1,1
07402861,2,2
07397636,2,1
SC390717,1,1
07231595,10,5
07229681,1,1
07310546,6,1
07394376,1,1
07240450,2,2
07241692,2,1
07446120,3,3
07256979,1,1
07418296,2,1
07209629,5,2
07125916,1,1
07241954,2,1
07336653,3,2
07401782,1,1
07228357,2,2
07120335,3,1
07226957,6,2
07219776,2,2
07233994,2,2
07248149,1,1
SC372352,12,5
07252176,9,6
07245019,11,3
07291926,3,2
07298533,5,1
07245647,2,2
SC384219,2,1
07449408,1,1
07249322,4,1
07448486,4,3
07254823,23,3
07302517,1,1
07246157,2,1
07250140,4,4
07212681,2,1
07254717,1,1
07247921,2,2
07232382,2,2
07181630,1,1
07221916,1,1
07235724,1,1
07244558,3,2
07246850,3,3
07205097,1,1
07345087,2,2
SC386288,1,1
07403165,5,5
07428337,2,2
07407310,15,2
07370319,1,1
07343064,3,2
07254715,3,1
07226562,3,1
07227170,2,2
07133629,5,2
07476916,3,1
07254205,2,2
07251316,1,1
SC383057,1,1
07348485,1,1
07119394,2,2
07249747,2,2
07149870,3,2
07152511,2,2
07346690,8,4
07259800,3,1
07138634,1,1
07246983,1,1
07140261,7,3
07315694,1,1
07252872,2,1
SC388189,4,1
SC384296,8,5
NI603275,5,5
NI602650,4,2
07121808,30,4
07290412,1,1
07243897,1,1
07253096,2,2
07223500,2,1
07202061,2,2
07392049,2,1
07370298,3,1
SC372922,6,1
07157900,2,1
07390897,1,1
07441404,1,1
07333088,1,1
07155571,3,3
07384620,8,5
07250252,2,2
SC377894,1,1
07212054,3,1
07190451,3,2
SC382460,4,1
07211709,3,3
07248501,2,1
07199908,4,1
07308962,3,2
OC352865,56,4
OC360306,3,2
OC353564,79,25
OC351649,4,3
OC354289,13,8
OC357628,19,9
OC356799,2,2
OC354626,2,2
OC352060,2,2
OC358770,4,3
OC358458,12,5
OC359262,2,2
OC359270,7,6
OC352378,5,3
OC358832,2,2
OC360125,23,4
OC359631,3,2
OC355794,22,4
OC353157,4,3
OC353162,4,3
OC359992,3,2
OC351642,5,2
OC352004,2,2
OC359257,3,2
OC360087,13,8
OC353860,40,13
OC355817,22,5
OC351770,2,2
OC360153,3,2
OC352713,621,35
OC353709,3,2
OC352718,6,2
OC354821,6,3
OC353789,19,9
OC353339,3,3
OC358007,4,4
OC352078,11,4
OC354112,40,18
OC353895,8,4
OC352662,7,3
OC352102,2,2
OC352307,14,7
OC353358,2,2
OC353060,3,3
OC351443,15,5
OC353320,2,2
OC353804,2,2
OC352595,7,2
OC353302,3,3
OC359107,6,2
OC351727,5,2
OC359698,2,2
OC353368,5,5
OC352415,6,2
OC359968,3,2
OC354682,5,2
OC360158,6,2
OC357110,3,2
OC353122,2,2
SO302645,16,4
OC351982,8,3
OC360290,2,2
OC358938,6,4
OC354222,3,3
OC353166,3,2
OC355019,5,2
OC352623,4,4
OC359167,2,2
OC352962,10,3
OC354236,2,2
OC355296,5,2
OC353912,10,5
OC353820,8,4
OC351562,4,2
OC358602,4,4
OC354048,4,2
OC353298,3,3
OC360254,2,2
OC353459,3,3
OC359366,3,2
OC355727,11,5
OC352712,9,4
OC352404,12,8
OC360111,5,3
OC352491,5,2
OC352869,6,2
OC353275,9,3
OC352983,5,5
OC353127,2,2
OC351318,3,2
OC353076,4,2
OC351226,2,2
OC352783,4,2
OC352230,2,2
OC352699,6,3
OC352776,3,2
OC351692,5,2
OC352135,5,2
OC352588,4,3
OC353713,3,2
OC351641,3,2
OC354252,9,4
OC353489,2,2
OC352243,2,2
OC352137,7,2
OC358135,3,3
OC353669,16,12
OC353450,19,11
OC352618,7,2
SO302689,3,3
OC352284,10,7
OC351393,2,2
OC352056,5,2
OC352721,2,2
OC356299,3,2
OC352169,2,2
OC353744,7,5
SO302714,5,3
OC352882,6,2
OC353144,4,2
NC000638,3,2
OC351527,10,2
OC360224,23,2
OC360337,278,2
OC351718,4,2
OC355111,2,2
OC356194,8,4
OC359207,4,2
OC355650,8,2
OC359395,4,2
SO302710,2,2
OC355856,7,2
SO302747,2,2
OC351292,4,2
OC351306,4,2
OC351308,4,2
OC355479,4,3
OC355360,3,3
OC353366,19,3
OC353164,3,3
OC358008,12,5
OC352016,2,2
OC352376,2,2
OC360068,5,3
OC355196,11,7
OC358445,7,6
OC360373,2,2
OC353411,2,2
OC353216,18,2
OC358724,3,2
OC357825,6,3
OC354270,3,3
OC352093,6,3
OC355080,3,2
OC355470,3,2
OC356393,4,2
OC359886,125,2
OC360081,6,3
OC358471,2,2
OC355580,2,2
OC354140,7,5
OC359198,7,2
OC352538,5,3
OC354519,4,1
OC351405,4,2
OC353067,4,2
OC357772,6,2
SO302994,6,5
OC357128,5,2
OC354377,2,2
OC358947,15,3
OC354792,5,4
OC357180,2,2
OC355280,20,2
OC352379,6,4
OC354830,23,2
OC357325,3,2
OC354822,4,3
OC352369,11,2
OC354678,2,2
OC353209,4,3
OC356480,41,27
OC356044,51,35
OC353081,3,3
OC354096,6,1
OC353169,12,4
OC360515,7,5
OC352853,3,2
OC360198,4,3
OC351357,11,6
OC357069,3,3
OC353776,6,2
OC354604,5,2
OC355787,2,2
OC360402,4,2
OC360527,4,3
OC358066,3,2
OC354946,3,2
OC354487,4,2
OC356289,2,2
07374698,2,2
07375902,1,1
07373913,4,2
07373947,1,1
07374837,2,1
07376179,2,2
07375805,2,1
07376589,1,1
07376656,11,3
07374671,2,2
07373322,2,2
07374394,2,1
07374278,2,1
07374039,2,1
07376207,1,1
07374751,1,1
07375690,3,3
07376497,2,2
07374723,3,1
07376021,1,1
07373402,3,2
07373467,3,3
07373560,3,2
07375265,1,1
07375309,1,1
07374447,3,2
07374000,3,3
07374033,4,2
07376231,1,1
07375602,1,1
07374301,1,1
07374854,1,1
07375216,1,1
07375236,2,2
07375289,3,2
07375297,1,1
07373992,2,1
07372994,4,1
07374750,4,2
07374971,3,2
07375376,3,3
07375533,3,1
07376576,6,1
07376389,3,1
07376451,1,1
07373356,4,1
07373429,1,1
07375199,2,1
07373580,3,2
07375693,2,1
07373878,1,1
07374138,4,2
07375795,1,1
07374683,1,1
07374891,2,2
07374993,2,1
07373311,1,1
07374386,2,2
07375253,1,1
07376285,2,2
07376437,3,3
07373423,6,3
07373482,2,2
07374225,1,1
07375231,1,1
07376196,1,1
07376824,9,2
07376155,2,2
07374452,3,3
07374635,1,1
07374561,3,2
07375900,2,1
07376643,2,1
07374819,1,1
07374865,1,1
07374714,9,2
07373577,2,2
07375156,2,2
07374469,2,2
07374500,2,2
07375889,3,3
07374815,1,1
07374143,1,1
07374604,2,1
07374374,2,2
07373743,2,1
07373751,3,2
07374422,1,1
07373115,1,1
07374926,2,2
07374958,3,1
07374978,2,1
07374994,1,1
07375111,2,1
07374081,3,1
07372913,1,1
07373986,2,2
07372910,3,2
07372921,11,2
07374914,3,1
07375091,3,2
07373872,5,2
07374431,5,3
07372831,2,2
07375132,1,1
07373525,2,2
07373886,4,3
07374610,2,1
07373845,3,2
07374616,1,1
07372889,3,2
07374909,2,2
07374029,1,1
07374364,1,1
07373472,1,1
07375242,2,2
07374236,10,3
07374288,3,1
07375715,2,2
07373654,1,1
07373931,2,1
07376144,6,3
07373247,1,1
07375169,4,2
07374641,1,1
07374192,2,2
07374656,2,2
07375171,2,2
07375218,1,1
07374074,2,2
07373152,1,1
07374780,2,2
07374804,2,2
07374642,3,1
07374659,4,1
07374775,2,1
07375226,3,2
07376000,2,2
07373147,2,1
07374945,2,1
07375823,5,1
07374533,3,2
07374404,3,3
07375878,2,1
07374838,3,1
07376429,1,1
07376480,2,2
07376493,1,1
07374437,2,1
07376263,1,1
07373215,5,1
07374571,1,1
07374647,1,1
07373961,1,1
07374042,1,1
07372782,5,3
07374779,2,2
07374801,2,2
07375395,1,1
07374410,2,2
07376279,3,2
07373436,3,2
07375656,1,0
07374481,1,1
07374706,3,1
07373951,1,1
07374147,3,1
07376193,3,1
07373227,1,1
07374813,2,2
07374144,2,1
07376269,3,2
07375195,3,2
07376509,3,2
07376131,1,1
07376149,3,2
07373306,3,2
07376275,5,2
07376277,1,1
07376278,5,1
07376124,2,1
07373647,5,1
07375347,2,1
07374206,4,2
07374252,12,1
07374718,3,3
07375673,1,1
07373655,1,1
07373953,3,2
07372795,2,2
07374760,1,1
07375077,2,1
07374463,2,2
07373553,2,2
07375655,4,1
07375745,6,1
07373725,2,1
07373949,2,1
07374842,1,1
07374979,2,1
OC351584,21,15
OC351599,18,16
OC352697,2,1
OC352719,4,2
OC352728,6,2
OC352670,2,2
OC352650,4,2
OC352678,3,2
OC352729,4,2
OC352698,5,2
OC352695,4,2
OC352688,6,2
OC352739,7,6
OC352716,6,2
OC352730,6,2
OC352684,4,2
OC351639,5,2
OC351636,2,2
OC351763,3,2
OC352872,9,2
OC352942,2,1
OC353123,5,2
OC352089,4,2
OC351870,4,2
OC351987,2,2
OC352012,2,2
OC353154,3,2
OC352955,2,2
OC351923,6,2
OC353046,3,2
OC353052,2,2
OC351994,2,2
OC352050,4,2
OC353112,3,2
OC353125,6,2
OC352070,3,2
OC352080,3,2
OC351747,8,4
OC352766,4,2
OC352854,2,1
OC352904,8,2
OC352972,5,2
OC352996,3,3
OC353026,2,2
OC353061,7,6
OC352116,2,2
OC351622,4,2
OC351708,6,2
OC351744,9,3
OC351766,4,3
OC352898,2,2
OC352959,4,2
OC352963,5,4
OC351865,2,2
OC351903,16,2
OC353058,2,2
OC353151,2,2
OC352133,3,2
OC351794,7,2
OC352797,4,0
OC352873,2,2
OC352910,4,2
OC352986,2,2
OC352014,2,2
OC352088,6,3
OC351734,5,2
OC351822,2,2
OC351957,4,2
OC352007,2,2
OC352058,5,5
OC352143,3,2
OC351664,5,2
OC351691,2,2
OC351817,2,2
OC352912,3,3
OC352937,6,2
OC352954,2,2
OC351933,4,3
OC351945,2,2
OC352041,81,35
OC353079,3,2
OC353129,3,3
OC351743,3,3
OC351805,3,2
OC352753,2,2
OC352813,4,2
OC351889,2,1
OC351942,2,2
OC353082,2,2
OC352110,2,2
OC352115,4,2
OC352763,2,2
OC352944,4,2
OC352961,3,2
OC351838,15,1
OC353097,10,2
OC353145,8,1
OC353159,2,2
OC353170,3,2
OC351750,5,3
OC352818,2,2
OC352846,2,2
OC352863,3,1
OC351914,6,2
OC353001,3,2
OC351969,10,2
OC351973,3,3
OC351700,2,2
OC351769,5,3
OC351810,7,1
OC352793,2,2
OC353701,2,2
OC353597,40,33
OC353334,5,2
OC353458,4,4
OC353567,2,2
OC353696,3,3
OC353336,3,3
OC353437,3,2
OC353448,2,2
OC353717,2,2
OC353348,3,2
OC353507,2,2
OC353529,2,2
OC353661,2,2
OC353682,3,3
OC353687,2,2
OC353355,3,3
OC353476,3,3
OC353522,8,2
OC353866,4,2
OC353898,3,2
OC353942,4,2
OC354520,2,2
OC353850,6,2
OC353919,10,2
OC353938,8,3
OC354077,2,2
OC353725,2,2
OC353722,2,2
OC353785,3,2
OC353839,15,7
OC353945,2,2
OC353738,6,3
OC353764,2,2
OC354582,6,3
OC353782,4,2
OC354602,3,2
OC353723,2,2
OC353734,4,2
OC353811,4,2
OC353817,2,2
OC353874,3,0
OC353908,10,2
OC353917,4,2
OC354581,4,2
OC354299,2,2
OC354364,2,2
OC353930,4,2
OC354293,3,2
OC354358,5,2
OC354373,4,2
OC354538,2,2
OC353864,4,2
OC354440,4,2
OC353788,5,1
OC353833,2,2
OC353927,4,2
OC353766,5,5
OC353802,3,3
OC353827,4,2
OC354160,4,2
OC354280,4,2
OC354287,2,2
OC354305,2,2
OC354367,7,1
OC354530,3,2
OC354372,6,4
OC354375,2,2
OC353729,3,3
OC353747,4,2
OC353906,4,2
OC354012,3,2
OC353779,7,3
OC353786,2,2
OC353924,4,2
OC353932,4,2
OC354414,2,2
OC354736,3,2
OC354884,2,2
OC354901,2,2
OC354166,2,2
OC354143,4,2
OC354734,4,2
OC354796,4,2
OC354101,2,1
OC353951,7,4
OC354178,4,2
OC354206,2,1
OC354093,5,3
07405686,5,4
07415041,3,3
07445798,4,3
07153526,5,2
07157420,4,1
07160678,4,4
07164761,6,3
07170195,3,3
07182078,9,2
07189761,9,1
07211508,5,3
07217267,12,3
07254526,8,8
07293032,11,2
07333086,10,4
07335550,4,3
07336015,5,3
07407388,5,4
07415350,3,3
07415359,3,3
07415347,3,3
07415368,3,3
07423833,6,2
07437529,3,3
07454437,4,4
07468160,4,3
07475141,3,3
07132105,4,4
07130452,3,3
07130236,3,3
07131642,5,2
07136454,3,0
07142426,3,3
07146915,3,3
07152122,3,2
07154892,5,5
07152412,9,3
07160675,4,4
07160822,3,3
07160814,3,3
07161706,4,4
07164942,6,3
07165078,3,3
07165057,4,4
07165442,3,3
07177024,4,3
07195621,3,3
07203648,6,5
07207180,3,3
07210183,3,3
07226848,6,3
07236803,9,2
07432961,4,3
07434191,4,3
07443093,3,3
07454442,4,4
07455620,5,2
07466983,3,3
07473712,3,3
07475309,4,4
07254779,3,3
07256478,4,0
07256552,3,2
07257735,8,2
07259145,4,3
07267834,5,3
07284623,5,2
07293081,3,2
07291490,7,3
07302842,3,3
07299396,3,3
07303597,8,2
07303448,3,3
07299651,5,3
07320838,5,2
07321955,3,2
07331888,7,3
07334432,3,2
07353656,3,3
07369066,4,3
07370158,3,3
07381716,4,4
07379739,4,4
07390093,3,1
07153044,3,2
07182103,4,4
07207503,7,4
07219041,4,2
07222547,3,3
07218485,4,4
07246215,5,4
07254443,5,1
SC381907,3,3
07177933,5,4
07445404,17,3
07422554,10,5
07277103,3,3
07277936,3,3
07287597,6,3
07298511,3,3
07317194,7,3
07364340,3,3
07409681,10,0
07420111,4,3
07206577,3,3
07206153,11,1
07214649,3,3
07125906,6,4
07127130,8,4
07128114,3,3
07120791,4,4
07120952,8,1
07123402,3,3
07127626,12,3
07130711,3,3
07130485,3,3
07139045,4,3
07147957,4,0
07153002,5,5
07157563,3,3
07163561,21,2
07162425,4,3
07165047,3,3
07165032,3,3
07171979,4,3
07179174,5,2
07197102,3,3
07208016,3,3
07210173,3,3
07210192,3,3
07219477,4,3
07219182,8,3
07228155,16,4
07231126,3,3
07231333,3,3
07246706,9,2
07242999,7,4
07247807,3,3
07248627,4,2
07248123,4,3
07256625,6,2
07258194,3,1
07267785,5,3
07270068,5,2
07270574,8,2
07274906,11,4
07281422,3,3
07284045,5,2
07283954,3,3
07287000,3,3
07303514,3,3
07310820,4,4
07325243,8,5
07339042,6,3
07340103,3,3
07344750,3,3
07342402,3,3
07358084,5,3
07364605,3,2
07368160,4,4
07374089,3,1
07374967,4,4
07373117,5,4
07379698,4,4
07385223,3,3
07396163,3,3
07395150,7,3
07407655,9,1
07407712,8,3
07414572,3,1
07409718,4,4
07419921,3,3
07425466,4,3
07426969,3,3
07434491,4,3
07437155,7,4
07436711,4,2
07440338,3,2
07458695,3,3
07457587,4,4
07460093,3,3
07473233,4,1
07475594,6,3
07475681,3,3
07477757,6,4
07428692,5,2
07433020,3,0
07439786,3,3
07454435,4,4
07466426,7,2
07475610,5,3
07475346,5,1
07479048,3,3
07243884,4,4
07258083,4,4
07260804,3,3
07287461,3,3
07288390,3,2
07292131,3,1
07297661,3,3
07869057,2,1
NI607349,2,1
07628847,1,1
07757509,1,1
07728424,2,2
07634734,3,3
07624429,2,1
07871912,2,2
07860086,4,1
07843748,2,1
07587317,4,2
07621277,1,1
07539006,2,1
07795851,2,1
07703631,1,1
SC412238,1,1
07839224,7,3
07533593,6,1
SC407447,3,1
07580786,1,1
SC396770,2,2
07749163,4,1
07701119,2,2
07733462,1,1
07782383,2,1
07628156,1,1
07674197,4,1
07610775,2,2
07871594,4,2
07606509,3,1
07870180,2,2
07749763,2,2
07621006,4,2
07632253,4,3
07540939,2,1
07890616,2,2
07620935,2,2
07628820,8,2
SC401104,2,2
07753010,5,1
07701975,8,2
07576282,5,1
07879966,3,1
SC399492,2,1
07763516,5,2
07809514,3,2
07702906,7,3
07718145,2,2
07485701,7,2
07616911,1,1
07634072,1,1
07546402,1,1
07584520,1,1
07537750,2,2
07867026,1,1
07625614,2,2
07555838,4,1
07635808,27,2
07643049,2,1
NI610474,4,1
07619667,2,1
07632991,1,1
07693598,4,3
NI606783,2,2
07785431,1,1
07584963,3,2
07846794,2,1
07625310,2,2
07841146,2,1
07632651,2,1
SC399188,1,1
07844088,3,3
07844079,3,3
07617184,2,2
07576237,1,1
07737635,8,2
07646393,2,2
07621990,2,1
07618602,1,1
07508182,10,1
07567426,2,2
07774158,3,2
07809985,3,1
07623492,7,3
07697457,3,3
07621091,3,1
NI607188,4,3
07611198,1,1
07610636,3,3
07773730,1,1
07626850,3,3
07604860,2,1
07641854,4,4
07600976,4,2
07635671,2,1
07721213,1,1
07599942,1,1
07635997,3,3
07587606,13,4
07634747,2,2
07584441,2,2
07628201,1,1
07640478,9,4
07588846,3,3
07881450,1,1
07619096,2,2
07712774,1,1
07653310,3,1
07699518,1,1
07733893,4,3
07621425,2,1
07636112,1,1
07617394,2,2
07636388,6,4
07605460,1,1
07755969,2,2
07875489,1,1
07740970,2,2
07631112,2,1
07594961,3,2
07728572,4,2
07641361,23,11
07620703,2,2
07493170,1,1
07525936,3,1
07759587,2,2
07640067,4,2
07535892,1,1
07640349,2,2
07600613,3,1
07564414,2,2
07639529,3,3
