company_number,name,role,nationality
01692903,"BENDELL, Anthony, Professor",director,British
01692903,"BENDELL, Charmaine Angela",director,British
01692903,"BENDELL, Sulamith",secretary,British
01692903,"GATFORD, Kerry Louise",secretary,British
01692903,"LEVERS, Jennifer Mary",secretary,British
01692903,"PENSON, Roger",secretary,British
01692903,"BENDELL, Sulamith",director,Danish
01692903,"JAKEMAN, Peter Norman",director,British
01692903,"KELLY, John Michael",director,British
01692903,"LEVERS, Jennifer Mary",director,British
SC423883,"CHOUDHRY, Mohammad Asif Afzal",director,British
16363569,"MAHAMED, Ali Mao Omar",director,Dutch
16002655,"ONUORAH, Adaorah Rapuluchukwu, Dr",director,Nigerian
15306682,"YUSUF, Fahmi Hassan",director,British
15306682,"THORNTON, Nuala Martine",director,British
16086181,"LAGNIDE, Mickael",director,Beninese
14269085,"SHAW, David",director,British
14272739,"ZMAIOUCH, Ayoub",director,Moroccan
14272739,1ST SECRETARIES LIMITED,corporate-secretary,
14144630,"SALEEM, Aamir",director,Pakistani
14144630,"RAHEEL, Saba",director,British
14236016,"RAFTREE, Aaron Michael",director,British
14236016,"ACHESON, Daniel Frederick",director,British
14236016,"ANDERSON, Aaron Aemon Philip",director,British
14236016,"MARTIN, Abbie Louise",director,English
15762411,"CIOBAN, Elena",director,Romanian
15762411,"CIOBAN, Elena",director,Romanian
15762411,"MUNTEANU, Anton",director,Romanian
13863256,"NEMETSKY, Solomon",director,British
13863256,"SCHLEIDER, Rivka",director,British
15350575,"BENGALI, Kavita",director,British
15350575,"EDOKPOLOR, Oyenmwen Roli",director,British
10425530,"GRIGORAS, Claudiu",director,Romanian
10801144,"RAKOTOMALALA, Andriatsilavo Hambinintsoa",director,Malagasy
10801144,"BEVILACQUA, Carla-Victoria",director,French
10801144,"CAUX, Michel",director,French
10801144,"MATHARI, Mourad",director,Tunisian
10596551,"SAAGBUL, Bernard",director,Ghanaian
12599355,"KHAN, Liaquat Hussain",director,Pakistani
12599355,"HAMMAD, Summera",director,British
OC443458,"BIRCHALL, Mark Jason",llp-designated-member,
OC443458,"O'BRIEN, John Charles",llp-designated-member,
OC443458,"CROUCHER, Tony",llp-member,
OC443458,"CRUMPTON, Tony",llp-member,
OC443458,"FARR, Thomas Rhys",llp-member,
OC443458,"PRESNALL, John",llp-member,
OC443458,"QASIM, Mohammed Umar",llp-member,
OC443458,"ROBINSON, John",llp-member,
OC443458,"ROGAN, Jordan",llp-member,
OC443458,"BEECHAM, Amy Louise",llp-member,
OC443458,"COLE, Simon",llp-member,
OC443458,"EMERY, Mark Anthony",llp-member,
OC443458,"MANTIO, Stafano",llp-member,
OC443458,"OSBORN, Chris",llp-member,
OC443458,"WALKER, Paul",llp-member,
06745086,"PICHEMIN, Gilles",director,French
06745086,LA SECRETAIRE UK LTD,corporate-secretary,
06745086,"MORONI, Emmanuel",director,English
06745086,"ODERAH, Mildred",director,Kenyan
06745086,"ODERAH, Mildred",director,Kenyan
06745086,"PICHEMIN, Gilles",director,French
06745086,"WOODMARK, Richard Peter",director,British
10955723,"TAHIR, Inamullah",director,British
10955723,"QADIR, Usman",director,Pakistani
10955723,"SULTAN, Sabir",director,British
10955723,"TAHIR, Ikram Ullah",director,British
12668249,"AHMED, Shazid",director,British
16564636,"AHMED, Mian Shahzad",director,British
16778618,"CALABRO, Davide",director,Italian
12551640,"PALUSZCZAK, Bogdan Pawel",director,Polish
14478152,"MURAVIEV, Dmitry",director,British
10312427,"BAJWA, Atif Ramzan Aslam",director,British
14507661,"KHURSA, Viktoriia",director,Ukrainian
12416377,"JUNAID, Tahir",director,Pakistani
12416377,"MUSTAFA, Muhammad Tayyab",director,British
06856824,"WILLIAMS, Carol Anne",director,British
06856824,"WILLIAMS, Carol Anne",secretary,British
11022342,"BELDJENNA, Lahouari",director,French
11022342,"FAKIH, Mohamad",director,Canadian
13582638,"ZAWADA, Andrzej Krzysztof, Mr.",director,Polish
13582638,"KACZMARSKA, Alicja Elzbieta",director,Polish
13582638,"WIECZOREK, Nina",director,Polish
16336540,"ALI, Chaudhary Haider",director,British
16336540,"SALEEM, Affiea",director,Pakistani
13117236,"MUTTON, Timothy James",director,British
17074288,"CADOGAN-WHITE, Antony",director,British
16754346,"CHONEV, Jason",director,British
SC604333,"MCGOWAN, Lauren",secretary,
SC604333,"KILLEN, Lee Joseph",director,British
13612309,"STOTT, Rachel Ann",director,British
16139734,"NAVEED, Fiza",director,Pakistani
16139734,"NAVEED, Fiza",director,Pakistani
16139734,"SALMAN, Muhammad Saad",director,Pakistani
14005001,"ENACHE, Elena-Roberta",director,Romanian
14243804,"KEHINDE, Olawale Olufemi",director,British
04231814,"KARUNA KOTHA, Anantha Raju",secretary,Indian
04231814,"KARUNA KOTA, Vani Priya",director,Indian
04231814,"KARUNA KOTHA, Anantha Raju",director,Indian
04231814,"JALAGARI, Keshavardhan",director,British
15927221,"AGREBI, Yosra",director,British
